test_name,Adult,Bank,Berkeley,German,Housing,Iris,Wine,Titanic,Sp. Titanic,Thyroid_Diff,MathE
features_list_uninf,0,0,0,0,0,0,0,0,0,0,0
features_list_inf,0,0,0,0,0,0,0,0,0,0,0
feature_values_uninf,0,0,0,0,0,0,0,0,0,0,0
feature_values_inf,0,0,0,0,0,0,0,0,0,0,0
incomplete_completion,0,1,0,0,0,0,0,0,0,0,0
full_completion,0,0,0,0,0,0,0,0,0,0,0
feature_completion,0,0,0,0,0,0,0,0,0,0,0
recognition_feat,0,0,0,0,0,0,1,0,0,0,0
recognition_ex,0,0,0,0,0,0,0,0,0,0,0
membership,50,51,50,50,50,50,50,50,50,50,50
incomplete_completion_random,0,0,0,0,0,0,0,0,0,0,0
