test_name,Adult,Bank,Berkeley,German,Housing,Iris,Wine,Titanic,Sp. Titanic,Thyroid_Diff,MathE
features_list_uninf,1,1,0,1,1,1,1,1,0,0,0
features_list_inf,1,1,1,1,1,1,1,1,0,0,0
feature_values_uninf,1,1,0,1,0,1,0,1,0,0,0
feature_values_inf,1,1,1,1,0,1,0,1,0,0,1
incomplete_completion,1,1,0,0,0,0,0,1,0,0,0
full_completion,0,0,0,0,0,0,0,1,0,0,0
feature_completion,0,0,0,0,0,0,0,1,0,0,0
recognition_feat,1,0,0,0,1,1,1,1,0,0,0
recognition_ex,0,0,0,0,0,1,0,1,1,0,0
membership,58,63,54,58,69,62,55,70,68,55,48
incomplete_completion_random,0,1,0,0,0,0,0,0,0,0,0
