test_name,Adult,Bank,Berkeley,German,Housing,Iris,Wine,Titanic,Sp. Titanic,Thyroid_Diff,MathE
features_list_uninf,1,1,0,1,1,1,1,1,0,0,0
features_list_inf,1,1,0,1,1,1,1,1,0,0,0
feature_values_uninf,0,1,1,0,1,1,0,1,0,0,1
feature_values_inf,1,1,0,0,1,1,0,1,0,0,1
incomplete_completion,1,1,0,0,0,0,0,1,0,1,0
full_completion,0,0,0,0,0,0,0,1,0,0,0
feature_completion,0,0,0,0,0,0,0,1,0,0,0
recognition_feat,1,1,1,1,1,1,1,1,0,0,0
recognition_ex,1,0,0,0,1,1,1,1,0,0,0
membership,67,43,0,0,84,5,44,69,38,9,64
incomplete_completion_random,0,1,0,0,0,0,0,0,0,0,0
